"game","dist"
"6055-523df967-9fff-4240-9641-0582631f8802","3.570971378282"
"8780-7feec203-9a90-4601-a603-2684f706dee4","3.07873741661095"
"6349-9065b367-5e9e-42c5-8ca8-571d61a8a2d2","2.83547438757687"
"4983-d6509fca-8aef-47b6-9c12-d8ff3bffafb2","3.01283083682295"
"5552-ebe91faf-36cf-4a1a-88c1-e287570217dc","1.80177864525371"
"5611-d27589ce-fdf4-488b-b982-f5fc34b521ab","3.86294233640416"
"4558-a5ec2c63-a8f0-44ec-932f-92117bfa0127","1.90003468573614"
"6136-58beeef7-d336-4143-91d4-0068cdfa2517","1.67886570552537"
"6670-dfc1c549-cdef-423f-8e8a-45fc8a164eef","3.80799055836113"
"2587-8384393b-1042-47e8-a917-5062e30b3483","2.56388333283517"
"3730-56c8d6da-cb90-4c3a-817a-92d7a415d9e3","3.71285202084517"
"2964-8aa2bd97-5c9d-4156-b6d8-e1574af0adb1","3.01226495728558"
"0192-51579a54-ca07-4065-adf7-f9f11e47d993","3.23458134564353"
"5700-5d3ea060-bdc6-4ea3-a129-2ee677c88541","2.39810157621089"
"9031-a87ae5eb-af8f-4b52-aa0f-60b9ac2807ba","2.45672160942872"
"7322-c9e54e6e-8322-4c7a-9fc4-57a975a0715e","2.51027498354281"
"2362-f425e887-ea90-40d6-88b9-10dbd716643f","2.90280598583961"
"9304-090b0ab4-b2f6-42b3-a787-d06d2a29fadf","2.97541781135364"
"0739-0ef11871-3b27-486a-99f3-0c26b2628260","3.53301901394959"
"3951-8c86a62b-51da-4b32-bd8a-2e560b8ad009","4.45552024431361"
"4377-e719cef4-3bba-44a1-8aec-8fc607a84bc9","3.22311193175408"
"4516-f0e189ae-c01a-4dd4-aa63-524371292e12","1.98726752241313"
"7315-163874f0-02f8-4f26-bd01-99758fad2f81","3.29731889518069"
"0198-5e695728-0481-4864-a152-cf981b7e539e","2.27021378988763"
"2126-392c15c0-3baa-4914-90e4-db0a9b0a1479","4.65192370114615"
